No,Sun 5% (MW),Sun 10% (MW),Sun 15% (MW)
1186,29.5,59,97.5
1187,23.5,47,99
1188,29.25,58.5,88.5
1189,32.5,65,70.5
1190,33,66,87.75
1191,29.5,59,97.5
1192,23.5,47,99
1193,29.25,58.5,88.5
1194,32.5,65,70.5
1195,33,66,87.75
1196,29.5,59,97.5
1197,23.5,47,99
1198,29.25,58.5,88.5
1199,32.5,65,70.5
1200,33,66,87.75
1201,29.5,59,97.5
1202,23.5,47,99
1203,29.25,58.5,88.5
1204,32.5,65,70.5
1205,33,66,87.75
1206,29.5,59,97.5
1207,23.5,47,99
1208,29.25,58.5,88.5
1209,32.5,65,70.5
1210,33,66,87.75
1211,29.5,59,97.5
1212,23.5,47,99
1213,29.25,58.5,88.5
1214,32.5,65,70.5
1215,33,66,87.75
1216,29.5,59,97.5
1217,23.5,47,99
1218,29.25,58.5,88.5
1219,32.5,65,70.5
1220,33,66,87.75
1221,29.5,59,97.5
1222,23.5,47,99
1223,29.25,58.5,88.5
1224,32.5,65,70.5
1225,33,66,87.75
1226,29.5,59,97.5
1227,23.5,47,99
1228,29.25,58.5,88.5
1229,32.5,65,70.5
1230,33,66,87.75
1231,29.5,59,97.5
1232,23.5,47,99
1233,29.25,58.5,88.5
1234,32.5,65,70.5
1235,33,66,87.75
1236,29.5,59,97.5
1237,23.5,47,99
1238,29.25,58.5,88.5
1239,32.5,65,70.5
1240,33,66,87.75
1241,29.5,59,97.5
1242,23.5,47,99
1243,29.25,58.5,88.5
1244,32.5,65,70.5
1245,33,66,87.75
1246,29.5,59,97.5
1247,23.5,47,99
1248,29.25,58.5,88.5
1249,32.5,65,70.5
1250,33,66,87.75
1251,29.5,59,97.5
1252,23.5,47,99
1253,29.25,58.5,88.5
1254,32.5,65,70.5
1255,33,66,87.75
1256,29.5,59,97.5
1257,23.5,47,99
1258,29.25,58.5,88.5
1259,32.5,65,70.5
1260,33,66,87.75
1261,29.5,59,97.5
1262,23.5,47,99
1263,29.25,58.5,88.5
1264,32.5,65,70.5
1265,33,66,87.75
1266,29.5,59,97.5
1267,23.5,47,99
1268,29.25,58.5,88.5
1269,32.5,65,70.5
1270,33,66,87.75
1271,29.5,59,97.5
1272,23.5,47,99
1273,29.25,58.5,88.5
1274,32.5,65,70.5
1275,33,66,87.75
1276,29.5,59,97.5
1277,23.5,47,99
1278,29.25,58.5,88.5
1279,32.5,65,70.5
1280,33,66,87.75
1281,29.5,59,97.5
1282,23.5,47,99
1283,29.25,58.5,88.5
1284,32.5,65,70.5
1285,33,66,87.75
1286,29.5,59,97.5
1287,23.5,47,99
1288,29.25,58.5,88.5
1289,32.5,65,70.5
1290,33,66,87.75
1291,29.5,59,97.5
1292,23.5,47,99
1293,29.25,58.5,88.5
1294,32.5,65,70.5
1295,33,66,87.75
1296,29.5,59,97.5
1297,23.5,47,99
1298,29.25,58.5,88.5
1299,32.5,65,70.5
1300,33,66,87.75
1301,29.5,59,97.5
1302,23.5,47,99
1303,29.25,58.5,88.5
1304,32.5,65,70.5
1305,33,66,87.75
1306,29.5,59,97.5
1307,23.5,47,99
1308,29.25,58.5,88.5
1309,32.5,65,70.5
1310,33,66,87.75
1311,29.5,59,97.5
1312,23.5,47,99
1313,29.25,58.5,88.5
1314,32.5,65,70.5
1315,33,66,87.75
1316,29.5,59,97.5
1317,23.5,47,99
1318,29.25,58.5,88.5
1319,32.5,65,70.5
1320,33,66,87.75
1321,29.5,59,97.5
1322,23.5,47,99
1323,29.25,58.5,88.5
1324,32.5,65,70.5
1325,33,66,87.75
1326,29.5,59,97.5
1327,23.5,47,99
1328,29.25,58.5,88.5
1329,32.5,65,70.5
1330,33,66,87.75
1331,29.5,59,97.5
1332,23.5,47,99
1333,29.25,58.5,88.5
1334,32.5,65,70.5
1335,33,66,87.75
1336,29.5,59,97.5
1337,23.5,47,99
1338,29.25,58.5,88.5
1339,32.5,65,70.5
1340,33,66,87.75
1341,29.5,59,97.5
1342,23.5,47,99
1343,29.25,58.5,88.5
1344,32.5,65,70.5
1345,33,66,87.75
1346,29.5,59,97.5
1347,23.5,47,99
1348,29.25,58.5,88.5
1349,32.5,65,70.5
1350,33,66,87.75
1351,29.5,59,97.5
1352,23.5,47,99
1353,29.25,58.5,88.5
1354,32.5,65,70.5
1355,33,66,87.75
1356,29.5,59,97.5
1357,23.5,47,99
1358,29.25,58.5,88.5
1359,32.5,65,70.5
1360,33,66,87.75
1361,29.5,59,97.5
1362,23.5,47,99
1363,29.25,58.5,88.5
1364,32.5,65,70.5
1365,33,66,87.75
1366,29.5,59,97.5
1367,23.5,47,99
1368,29.25,58.5,88.5
1369,32.5,65,70.5
1370,33,66,87.75
1371,29.5,59,97.5
1372,23.5,47,99
1373,29.25,58.5,88.5
1374,32.5,65,70.5
1375,33,66,87.75
1376,29.5,59,97.5
1377,23.5,47,99
1378,29.25,58.5,88.5
1379,32.5,65,70.5
1380,33,66,87.75
1381,29.5,59,97.5
1382,23.5,47,99
1383,29.25,58.5,88.5
1384,32.5,65,70.5
1385,33,66,87.75
1386,29.5,59,97.5
1387,23.5,47,99
1388,29.25,58.5,88.5
1389,32.5,65,70.5
1390,33,66,87.75
1391,29.5,59,97.5
1392,23.5,47,99
1393,29.25,58.5,88.5
1394,32.5,65,70.5
1395,33,66,87.75
1396,29.5,59,97.5
1397,23.5,47,99
1398,29.25,58.5,88.5
1399,32.5,65,70.5
1400,33,66,87.75
1401,29.5,59,97.5
1402,23.5,47,99
1403,29.25,58.5,88.5
1404,32.5,65,70.5
1405,33,66,87.75
1406,29.5,59,97.5
1407,23.5,47,99
1408,29.25,58.5,88.5
1409,32.5,65,70.5
1410,33,66,87.75
1411,29.5,59,97.5
1412,23.5,47,99
1413,29.25,58.5,88.5
1414,32.5,65,70.5
1415,33,66,87.75
1416,29.5,59,97.5
1417,23.5,47,99
1418,29.25,58.5,88.5
1419,32.5,65,70.5
1420,33,66,87.75
1421,29.5,59,97.5
1422,23.5,47,99
1423,29.25,58.5,88.5
1424,32.5,65,70.5
1425,33,66,87.75
1426,29.5,59,97.5
1427,23.5,47,99
1428,29.25,58.5,88.5
1429,32.5,65,70.5
1430,33,66,87.75
1431,29.5,59,97.5
1432,23.5,47,99
1433,29.25,58.5,88.5
1434,32.5,65,70.5
1435,33,66,87.75
1436,29.5,59,97.5
1437,23.5,47,99
1438,29.25,58.5,88.5
1439,32.5,65,70.5
1440,33,66,87.75
1441,29.5,59,97.5
1442,23.5,47,99
1443,29.25,58.5,88.5
1444,32.5,65,70.5
1445,33,66,87.75
1446,29.5,59,97.5
1447,23.5,47,99
1448,29.25,58.5,88.5
1449,32.5,65,70.5
1450,33,66,87.75
1451,29.5,59,97.5
1452,23.5,47,99
1453,29.25,58.5,88.5
1454,32.5,65,70.5
1455,33,66,87.75
1456,29.5,59,97.5
1457,23.5,47,99
1458,29.25,58.5,88.5
1459,32.5,65,70.5
1460,33,66,87.75
1461,29.5,59,97.5
1462,23.5,47,99
1463,29.25,58.5,88.5
1464,32.5,65,70.5
1465,33,66,87.75
1466,29.5,59,97.5
1467,23.5,47,99
1468,29.25,58.5,88.5
1469,32.5,65,70.5
1470,33,66,87.75
1471,29.5,59,97.5
1472,23.5,47,99
1473,29.25,58.5,88.5
1474,32.5,65,70.5
1475,33,66,87.75
1476,29.5,59,97.5
1477,23.5,47,99
1478,29.25,58.5,88.5
1479,32.5,65,70.5
1480,33,66,87.75
1481,29.5,59,97.5
1482,23.5,47,99
1483,29.25,58.5,88.5
1484,32.5,65,70.5
1485,33,66,87.75
1486,29.5,59,97.5
1487,23.5,47,99
1488,29.25,58.5,88.5
1489,32.5,65,70.5
1490,33,66,87.75
1491,29.5,59,97.5
1492,23.5,47,99
1493,29.25,58.5,88.5
1494,32.5,65,70.5
1495,33,66,87.75
1496,29.5,59,97.5
1497,23.5,47,99
1498,29.25,58.5,88.5
1499,32.5,65,70.5
1500,33,66,87.75
1501,29.5,59,97.5
1502,23.5,47,99
1503,29.25,58.5,88.5
1504,32.5,65,70.5
1505,33,66,87.75
1506,29.5,59,97.5
1507,23.5,47,99
1508,29.25,58.5,88.5
1509,32.5,65,70.5
1510,33,66,87.75
1511,29.5,59,97.5
1512,23.5,47,99
1513,29.25,58.5,88.5
1514,32.5,65,70.5
1515,33,66,87.75
1516,29.5,59,97.5
1517,23.5,47,99
1518,29.25,58.5,88.5
1519,32.5,65,70.5
1520,33,66,87.75
1521,29.5,59,97.5
1522,23.5,47,99
1523,29.25,58.5,88.5
1524,32.5,65,70.5
1525,33,66,87.75
1526,29.5,59,97.5
1527,23.5,47,99
1528,29.25,58.5,88.5
1529,32.5,65,70.5
1530,33,66,87.75
1531,29.5,59,97.5
1532,23.5,47,99
1533,29.25,58.5,88.5
1534,32.5,65,70.5
1535,33,66,87.75
1536,29.5,59,97.5
1537,23.5,47,99
1538,29.25,58.5,88.5
1539,32.5,65,70.5
1540,33,66,87.75
1541,29.5,59,97.5
1542,23.5,47,99
1543,29.25,58.5,88.5
1544,32.5,65,70.5
1545,33,66,87.75
1546,29.5,59,97.5
1547,23.5,47,99
1548,29.25,58.5,88.5
1549,32.5,65,70.5
1550,33,66,87.75
1551,29.5,59,97.5
1552,23.5,47,99
1553,29.25,58.5,88.5
1554,32.5,65,70.5
1555,33,66,87.75
1556,29.5,59,97.5
1557,23.5,47,99
1558,29.25,58.5,88.5
1559,32.5,65,70.5
1560,33,66,87.75
1561,29.5,59,97.5
1562,23.5,47,99
1563,29.25,58.5,88.5
1564,32.5,65,70.5
1565,33,66,87.75
1566,29.5,59,97.5
1567,23.5,47,99
1568,29.25,58.5,88.5
1569,32.5,65,70.5
1570,33,66,87.75
1571,29.5,59,97.5
1572,23.5,47,99
1573,29.25,58.5,88.5
1574,32.5,65,70.5
1575,33,66,87.75
1576,29.5,59,97.5
1577,23.5,47,99
1578,29.25,58.5,88.5
1579,32.5,65,70.5
1580,33,66,87.75
1581,29.5,59,97.5
1582,23.5,47,99
1583,29.25,58.5,88.5
1584,32.5,65,70.5
1585,33,66,87.75
1586,29.5,59,97.5
1587,23.5,47,99
1588,29.25,58.5,88.5
1589,32.5,65,70.5
1590,33,66,87.75
1591,29.5,59,97.5
1592,23.5,47,99
1593,29.25,58.5,88.5
1594,32.5,65,70.5
1595,33,66,87.75
1596,29.5,59,97.5
1597,23.5,47,99
1598,29.25,58.5,88.5
1599,32.5,65,70.5
1600,33,66,87.75
1601,29.5,59,97.5
1602,23.5,47,99
1603,29.25,58.5,88.5
1604,32.5,65,70.5
1605,33,66,87.75
1606,29.5,59,97.5
1607,23.5,47,99
1608,29.25,58.5,88.5
1609,32.5,65,70.5
1610,33,66,87.75
1611,29.5,59,97.5
1612,23.5,47,99
1613,29.25,58.5,88.5
1614,32.5,65,70.5
1615,33,66,87.75
1616,29.5,59,97.5
1617,23.5,47,99
1618,29.25,58.5,88.5
1619,32.5,65,70.5
1620,33,66,87.75
1621,29.5,59,97.5
1622,23.5,47,99
1623,29.25,58.5,88.5
1624,32.5,65,70.5
1625,33,66,87.75
1626,29.5,59,97.5
1627,23.5,47,99
1628,29.25,58.5,88.5
1629,32.5,65,70.5
1630,33,66,87.75
1631,29.5,59,97.5
1632,23.5,47,99
1633,29.25,58.5,88.5
1634,32.5,65,70.5
1635,33,66,87.75
1636,29.5,59,97.5
1637,23.5,47,99
1638,29.25,58.5,88.5
1639,32.5,65,70.5
1640,33,66,87.75
1641,29.5,59,97.5
1642,23.5,47,99
1643,29.25,58.5,88.5
1644,32.5,65,70.5
1645,33,66,87.75
1646,29.5,59,97.5
1647,23.5,47,99
1648,29.25,58.5,88.5
1649,32.5,65,70.5
1650,33,66,87.75
1651,29.5,59,97.5
1652,23.5,47,99
1653,29.25,58.5,88.5
1654,32.5,65,70.5
1655,33,66,87.75
1656,29.5,59,97.5
1657,23.5,47,99
1658,29.25,58.5,88.5
1659,32.5,65,70.5
1660,33,66,87.75
1661,29.5,59,97.5
1662,23.5,47,99
1663,29.25,58.5,88.5
1664,32.5,65,70.5
1665,33,66,87.75
1666,29.5,59,97.5
1667,23.5,47,99
1668,29.25,58.5,88.5
1669,32.5,65,70.5
1670,33,66,87.75
1671,29.5,59,97.5
1672,23.5,47,99
1673,29.25,58.5,88.5
1674,32.5,65,70.5
1675,33,66,87.75
1676,29.5,59,97.5
1677,23.5,47,99
1678,29.25,58.5,88.5
1679,32.5,65,70.5
1680,33,66,87.75
1681,29.5,59,97.5
1682,23.5,47,99
1683,29.25,58.5,88.5
1684,32.5,65,70.5
1685,33,66,87.75
1686,29.5,59,97.5
1687,23.5,47,99
1688,29.25,58.5,88.5
1689,32.5,65,70.5
1690,33,66,87.75
1691,29.5,59,97.5
1692,23.5,47,99
1693,29.25,58.5,88.5
1694,32.5,65,70.5
1695,33,66,87.75
1696,29.5,59,97.5
1697,23.5,47,99
1698,29.25,58.5,88.5
1699,32.5,65,70.5
1700,33,66,87.75
1701,29.5,59,97.5
1702,23.5,47,99
1703,29.25,58.5,88.5
1704,32.5,65,70.5
1705,33,66,87.75
1706,29.5,59,97.5
1707,23.5,47,99
1708,29.25,58.5,88.5
1709,32.5,65,70.5
1710,33,66,87.75
1711,29.5,59,97.5
1712,23.5,47,99
1713,29.25,58.5,88.5
1714,32.5,65,70.5
1715,33,66,87.75
1716,29.5,59,97.5
1717,23.5,47,99
1718,29.25,58.5,88.5
1719,32.5,65,70.5
1720,33,66,87.75
1721,29.5,59,97.5
1722,23.5,47,99
1723,29.25,58.5,88.5
1724,32.5,65,70.5
1725,33,66,87.75
1726,29.5,59,97.5
1727,23.5,47,99
1728,29.25,58.5,88.5
1729,32.5,65,70.5
1730,33,66,87.75
1731,29.5,59,97.5
1732,23.5,47,99
1733,29.25,58.5,88.5
1734,32.5,65,70.5
1735,33,66,87.75
1736,29.5,59,97.5
1737,23.5,47,99
1738,29.25,58.5,88.5
1739,32.5,65,70.5
1740,33,66,87.75
1741,29.5,59,97.5
1742,23.5,47,99
1743,29.25,58.5,88.5
1744,32.5,65,70.5
1745,33,66,87.75
1746,29.5,59,97.5
1747,23.5,47,99
1748,29.25,58.5,88.5
1749,32.5,65,70.5
1750,33,66,87.75
1751,29.5,59,97.5
1752,23.5,47,99
1753,29.25,58.5,88.5
1754,32.5,65,70.5
1755,33,66,87.75
1756,29.5,59,97.5
1757,23.5,47,99
1758,29.25,58.5,88.5
1759,32.5,65,70.5
1760,33,66,87.75
1761,29.5,59,97.5
1762,23.5,47,99
1763,29.25,58.5,88.5
1764,32.5,65,70.5
1765,33,66,87.75
1766,29.5,59,97.5
1767,23.5,47,99
1768,29.25,58.5,88.5
1769,32.5,65,70.5
1770,33,66,87.75
1771,29.5,59,97.5
1772,23.5,47,99
1773,29.25,58.5,88.5
1774,32.5,65,70.5
1775,33,66,87.75
1776,29.5,59,97.5
1777,23.5,47,99
1778,29.25,58.5,88.5
1779,32.5,65,70.5
1780,33,66,87.75
1781,29.5,59,97.5
1782,23.5,47,99
1783,29.25,58.5,88.5
1784,32.5,65,70.5
1785,33,66,87.75
1786,29.5,59,97.5
1787,23.5,47,99
1788,29.25,58.5,88.5
1789,32.5,65,70.5
1790,33,66,87.75
1791,29.5,59,97.5
1792,23.5,47,99
1793,29.25,58.5,88.5
1794,32.5,65,70.5
1795,33,66,87.75
1796,29.5,59,97.5
1797,23.5,47,99
1798,29.25,58.5,88.5
1799,32.5,65,70.5
1800,33,66,87.75
1801,29.5,59,97.5
1802,23.5,47,99
1803,29.25,58.5,88.5
1804,32.5,65,70.5
1805,33,66,87.75
1806,29.5,59,97.5
1807,23.5,47,99
1808,29.25,58.5,88.5
1809,32.5,65,70.5
1810,33,66,87.75
1811,29.5,59,97.5
1812,23.5,47,99
1813,29.25,58.5,88.5
1814,32.5,65,70.5
1815,33,66,87.75
1816,29.5,59,97.5
1817,23.5,47,99
1818,29.25,58.5,88.5
1819,32.5,65,70.5
1820,33,66,87.75
1821,29.5,59,97.5
1822,23.5,47,99
1823,29.25,58.5,88.5
1824,32.5,65,70.5
1825,33,66,87.75
1826,29.5,59,97.5
1827,23.5,47,99
1828,29.25,58.5,88.5
1829,32.5,65,70.5
1830,33,66,87.75
1831,29.5,59,97.5
1832,23.5,47,99
1833,29.25,58.5,88.5
1834,32.5,65,70.5
1835,33,66,87.75
1836,29.5,59,97.5
1837,23.5,47,99
1838,29.25,58.5,88.5
1839,32.5,65,70.5
1840,33,66,87.75
1841,29.5,59,97.5
1842,23.5,47,99
1843,29.25,58.5,88.5
1844,32.5,65,70.5
1845,33,66,87.75
1846,29.5,59,97.5
1847,23.5,47,99
1848,29.25,58.5,88.5
1849,32.5,65,70.5
1850,33,66,87.75
1851,29.5,59,97.5
1852,23.5,47,99
1853,29.25,58.5,88.5
1854,32.5,65,70.5
1855,33,66,87.75
1856,29.5,59,97.5
1857,23.5,47,99
1858,29.25,58.5,88.5
1859,32.5,65,70.5
1860,33,66,87.75
1861,29.5,59,97.5
1862,23.5,47,99
1863,29.25,58.5,88.5
1864,32.5,65,70.5
1865,33,66,87.75
1866,29.5,59,97.5
1867,23.5,47,99
1868,29.25,58.5,88.5
1869,32.5,65,70.5
1870,33,66,87.75
1871,29.5,59,97.5
1872,23.5,47,99
1873,29.25,58.5,88.5
1874,32.5,65,70.5
1875,33,66,87.75
1876,29.5,59,97.5
1877,23.5,47,99
1878,29.25,58.5,88.5
1879,32.5,65,70.5
1880,33,66,87.75
1881,29.5,59,97.5
1882,23.5,47,99
1883,29.25,58.5,88.5
1884,32.5,65,70.5
1885,33,66,87.75
1886,29.5,59,97.5
1887,23.5,47,99
1888,29.25,58.5,88.5
1889,32.5,65,70.5
1890,33,66,87.75
1891,29.5,59,97.5
1892,23.5,47,99
1893,29.25,58.5,88.5
1894,32.5,65,70.5
1895,33,66,87.75
1896,29.5,59,97.5
1897,23.5,47,99
1898,29.25,58.5,88.5
1899,32.5,65,70.5
1900,33,66,87.75
1901,29.5,59,97.5
1902,23.5,47,99
1903,29.25,58.5,88.5
1904,32.5,65,70.5
1905,33,66,87.75
1906,29.5,59,97.5
1907,23.5,47,99
1908,29.25,58.5,88.5
1909,32.5,65,70.5
1910,33,66,87.75
1911,29.5,59,97.5
1912,23.5,47,99
1913,29.25,58.5,88.5
1914,32.5,65,70.5
1915,33,66,87.75
1916,29.5,59,97.5
1917,23.5,47,99
1918,29.25,58.5,88.5
1919,32.5,65,70.5
1920,33,66,87.75
1921,29.5,59,97.5
1922,23.5,47,99
1923,29.25,58.5,88.5
1924,32.5,65,70.5
1925,33,66,87.75
1926,29.5,59,97.5
1927,23.5,47,99
1928,29.25,58.5,88.5
1929,32.5,65,70.5
1930,33,66,87.75
1931,29.5,59,97.5
1932,23.5,47,99
1933,29.25,58.5,88.5
1934,32.5,65,70.5
1935,33,66,87.75
1936,29.5,59,97.5
1937,23.5,47,99
1938,29.25,58.5,88.5
1939,32.5,65,70.5
1940,33,66,87.75
1941,29.5,59,97.5
1942,23.5,47,99
1943,29.25,58.5,88.5
1944,32.5,65,70.5
1945,33,66,87.75
1946,29.5,59,97.5
1947,23.5,47,99
1948,29.25,58.5,88.5
1949,32.5,65,70.5
1950,33,66,87.75
1951,29.5,59,97.5
1952,23.5,47,99
1953,29.25,58.5,88.5
1954,32.5,65,70.5
1955,33,66,87.75
1956,29.5,59,97.5
1957,23.5,47,99
1958,29.25,58.5,88.5
1959,32.5,65,70.5
1960,33,66,87.75
1961,29.5,59,97.5
1962,23.5,47,99
1963,29.25,58.5,88.5
1964,32.5,65,70.5
1965,33,66,87.75
1966,29.5,59,97.5
1967,23.5,47,99
1968,29.25,58.5,88.5
1969,32.5,65,70.5
1970,33,66,87.75
1971,29.5,59,97.5
1972,23.5,47,99
1973,29.25,58.5,88.5
1974,32.5,65,70.5
1975,33,66,87.75
1976,29.5,59,97.5
1977,23.5,47,99
1978,29.25,58.5,88.5
1979,32.5,65,70.5
1980,33,66,87.75
1981,29.5,59,97.5
1982,23.5,47,99
1983,29.25,58.5,88.5
1984,32.5,65,70.5
1985,33,66,87.75
1986,29.5,59,97.5
1987,23.5,47,99
1988,29.25,58.5,88.5
1989,32.5,65,70.5
1990,33,66,87.75
1991,29.5,59,97.5
1992,23.5,47,99
1993,29.25,58.5,88.5
1994,32.5,65,70.5
1995,33,66,87.75
1996,29.5,59,97.5
1997,23.5,47,99
1998,29.25,58.5,88.5
1999,32.5,65,70.5
2000,33,66,87.75
2001,29.5,59,97.5
2002,23.5,47,99
2003,29.25,58.5,88.5
2004,32.5,65,70.5
2005,33,66,87.75
2006,29.5,59,97.5
2007,23.5,47,99
2008,29.25,58.5,88.5
2009,32.5,65,70.5
2010,33,66,87.75
2011,29.5,59,97.5
2012,23.5,47,99
2013,29.25,58.5,88.5
2014,32.5,65,70.5
2015,33,66,87.75
2016,29.5,59,97.5
2017,23.5,47,99
2018,29.25,58.5,88.5
2019,32.5,65,70.5
2020,33,66,87.75
2021,29.5,59,97.5
2022,23.5,47,99
2023,29.25,58.5,88.5
2024,32.5,65,70.5
2025,33,66,87.75
2026,29.5,59,97.5
2027,23.5,47,99
2028,29.25,58.5,88.5
2029,32.5,65,70.5
2030,33,66,87.75
2031,29.5,59,97.5
2032,23.5,47,99
2033,29.25,58.5,88.5
2034,32.5,65,70.5
2035,33,66,87.75
2036,29.5,59,97.5
2037,23.5,47,99
2038,29.25,58.5,88.5
2039,32.5,65,70.5
2040,33,66,87.75
2041,29.5,59,97.5
2042,23.5,47,99
2043,29.25,58.5,88.5
2044,32.5,65,70.5
2045,33,66,87.75
2046,29.5,59,97.5
2047,23.5,47,99
2048,29.25,58.5,88.5
2049,32.5,65,70.5
2050,33,66,87.75
2051,29.5,59,97.5
2052,23.5,47,99
2053,29.25,58.5,88.5
2054,32.5,65,70.5
2055,33,66,87.75
2056,29.5,59,97.5
2057,23.5,47,99
2058,29.25,58.5,88.5
2059,32.5,65,70.5
2060,33,66,87.75
2061,29.5,59,97.5
2062,23.5,47,99
2063,29.25,58.5,88.5
2064,32.5,65,70.5
2065,33,66,87.75
2066,29.5,59,97.5
2067,23.5,47,99
2068,29.25,58.5,88.5
2069,32.5,65,70.5
2070,33,66,87.75
2071,29.5,59,97.5
2072,23.5,47,99
2073,29.25,58.5,88.5
2074,32.5,65,70.5
2075,33,66,87.75
2076,29.5,59,97.5
2077,23.5,47,99
2078,29.25,58.5,88.5
2079,32.5,65,70.5
2080,33,66,87.75
2081,29.5,59,97.5
2082,23.5,47,99
2083,29.25,58.5,88.5
2084,32.5,65,70.5
2085,33,66,87.75
2086,29.5,59,97.5
2087,23.5,47,99
2088,29.25,58.5,88.5
2089,32.5,65,70.5
2090,33,66,87.75
2091,29.5,59,97.5
2092,23.5,47,99
2093,29.25,58.5,88.5
2094,32.5,65,70.5
2095,33,66,87.75
2096,29.5,59,97.5
2097,23.5,47,99
2098,29.25,58.5,88.5
2099,32.5,65,70.5
2100,33,66,87.75
2101,29.5,59,97.5
2102,23.5,47,99
2103,29.25,58.5,88.5
2104,32.5,65,70.5
2105,33,66,87.75
2106,29.5,59,97.5
2107,23.5,47,99
2108,29.25,58.5,88.5
2109,32.5,65,70.5
2110,33,66,87.75
2111,29.5,59,97.5
2112,23.5,47,99
2113,29.25,58.5,88.5
2114,32.5,65,70.5
2115,33,66,87.75
2116,29.5,59,97.5
2117,23.5,47,99
2118,29.25,58.5,88.5
2119,32.5,65,70.5
2120,33,66,87.75
2121,29.5,59,97.5
2122,23.5,47,99
2123,29.25,58.5,88.5
2124,32.5,65,70.5
2125,33,66,87.75
2126,29.5,59,97.5
2127,23.5,47,99
2128,29.25,58.5,88.5
2129,32.5,65,70.5
2130,33,66,87.75
2131,29.5,59,97.5
2132,23.5,47,99
2133,29.25,58.5,88.5
2134,32.5,65,70.5
2135,33,66,87.75
2136,29.5,59,97.5
2137,23.5,47,99
2138,29.25,58.5,88.5
2139,32.5,65,70.5
2140,33,66,87.75
2141,29.5,59,97.5
2142,23.5,47,99
2143,29.25,58.5,88.5
2144,32.5,65,70.5
2145,33,66,87.75
2146,29.5,59,97.5
2147,23.5,47,99
2148,29.25,58.5,88.5
2149,32.5,65,70.5
2150,33,66,87.75
2151,29.5,59,97.5
2152,23.5,47,99
2153,29.25,58.5,88.5
2154,32.5,65,70.5
2155,33,66,87.75
2156,29.5,59,97.5
2157,23.5,47,99
2158,29.25,58.5,88.5
2159,32.5,65,70.5
2160,33,66,87.75
2161,29.5,59,97.5
2162,23.5,47,99
2163,29.25,58.5,88.5
2164,32.5,65,70.5
2165,33,66,87.75
2166,29.5,59,97.5
2167,23.5,47,99
2168,29.25,58.5,88.5
2169,32.5,65,70.5
2170,33,66,87.75
2171,29.5,59,97.5
2172,23.5,47,99
2173,29.25,58.5,88.5
2174,32.5,65,70.5
2175,33,66,87.75
2176,29.5,59,97.5
2177,23.5,47,99
2178,29.25,58.5,88.5
2179,32.5,65,70.5
2180,33,66,87.75
2181,29.5,59,97.5
2182,23.5,47,99
2183,29.25,58.5,88.5
2184,32.5,65,70.5
2185,33,66,87.75
2186,29.5,59,97.5
2187,23.5,47,99
2188,29.25,58.5,88.5
2189,32.5,65,70.5
2190,33,66,87.75
2191,29.5,59,97.5
2192,23.5,47,99
2193,29.25,58.5,88.5
2194,32.5,65,70.5
2195,33,66,87.75
2196,29.5,59,97.5
2197,23.5,47,99
2198,29.25,58.5,88.5
2199,32.5,65,70.5
2200,33,66,87.75
2201,29.5,59,97.5
2202,23.5,47,99
2203,29.25,58.5,88.5
2204,32.5,65,70.5
2205,33,66,87.75
2206,29.5,59,97.5
2207,23.5,47,99
2208,29.25,58.5,88.5
2209,32.5,65,70.5
2210,33,66,87.75
2211,29.5,59,97.5
2212,23.5,47,99
2213,29.25,58.5,88.5
2214,32.5,65,70.5
2215,33,66,87.75
2216,29.5,59,97.5
2217,23.5,47,99
2218,29.25,58.5,88.5
2219,32.5,65,70.5
2220,33,66,87.75
2221,29.5,59,97.5
2222,23.5,47,99
2223,29.25,58.5,88.5
2224,32.5,65,70.5
2225,33,66,87.75
2226,29.5,59,97.5
2227,23.5,47,99
2228,29.25,58.5,88.5
2229,32.5,65,70.5
2230,33,66,87.75
2231,29.5,59,97.5
2232,23.5,47,99
2233,29.25,58.5,88.5
2234,32.5,65,70.5
2235,33,66,87.75
2236,29.5,59,97.5
2237,23.5,47,99
2238,29.25,58.5,88.5
2239,32.5,65,70.5
2240,33,66,87.75
2241,29.5,59,97.5
2242,23.5,47,99
2243,29.25,58.5,88.5
2244,32.5,65,70.5
2245,33,66,87.75
2246,29.5,59,97.5
2247,23.5,47,99
2248,29.25,58.5,88.5
2249,32.5,65,70.5
2250,33,66,87.75
2251,29.5,59,97.5
2252,23.5,47,99
2253,29.25,58.5,88.5
2254,32.5,65,70.5
2255,33,66,87.75
2256,29.5,59,97.5
2257,23.5,47,99
2258,29.25,58.5,88.5
2259,32.5,65,70.5
2260,33,66,87.75
2261,29.5,59,97.5
2262,23.5,47,99
2263,29.25,58.5,88.5
2264,32.5,65,70.5
2265,33,66,87.75
2266,29.5,59,97.5
2267,23.5,47,99
2268,29.25,58.5,88.5
2269,32.5,65,70.5
2270,33,66,87.75
2271,29.5,59,97.5
2272,23.5,47,99
2273,29.25,58.5,88.5
2274,32.5,65,70.5
2275,33,66,87.75
2276,29.5,59,97.5
2277,23.5,47,99
2278,29.25,58.5,88.5
2279,32.5,65,70.5
2280,33,66,87.75
2281,29.5,59,97.5
2282,23.5,47,99
2283,29.25,58.5,88.5
2284,32.5,65,70.5
2285,33,66,87.75
2286,29.5,59,97.5
2287,23.5,47,99
2288,29.25,58.5,88.5
2289,32.5,65,70.5
2290,33,66,87.75
2291,29.5,59,97.5
2292,23.5,47,99
2293,29.25,58.5,88.5
